neighbourhood,latitude,longitude,room_type,minimum_nights,number_of_reviews,price
1,40.65406,-73.9506,1,1,0,20
1,40.64471,-73.9495,2,30,1,20
1,40.65221,-73.93634,1,5,4,21
1,40.65151,-73.94957,2,30,0,22
1,40.64601,-73.94886,2,30,8,25
1,40.64603,-73.94869,2,30,5,25
1,40.64583,-73.9483,2,30,10,25
1,40.65024,-73.95051,2,30,2,26
1,40.65777,-73.92263,1,30,9,27
1,40.64509,-73.94825,2,30,7,27
1,40.64136,-73.94705,2,30,0,27
1,40.63479,-73.94848,1,2,4,27
1,40.64513,-73.9488,2,30,3,28
1,40.64979,-73.93299,1,1,13,28
1,40.66337,-73.92576,1,3,20,30
1,40.63899,-73.94886,2,30,4,30
1,40.65381,-73.94819,1,2,48,30
1,40.65202,-73.95104,3,4,0,30
1,40.64434,-73.9504,2,30,0,31
1,40.65441,-73.95024,1,1,25,31
1,40.6392,-73.94732,1,30,1,32
1,40.66313,-73.92684,1,30,0,32
1,40.65144,-73.94489,1,7,0,32
1,40.66011,-73.93202,1,2,119,33
1,40.65286,-73.93371,1,30,1,33
1,40.64445,-73.94943,3,1,29,33
1,40.64941,-73.93451,1,1,14,33
1,40.65465,-73.93383,2,31,0,33
1,40.65071,-73.94508,1,30,6,34
1,40.65429,-73.94917,1,1,1,35
1,40.6458,-73.92384,1,7,9,35
1,40.64604,-73.92511,1,3,19,35
1,40.65286,-73.93209,1,30,3,35
1,40.65312,-73.93413,1,30,5,35
1,40.65222,-73.95016,1,1,5,35
1,40.64617,-73.92397,1,3,7,35
1,40.65234,-73.95145,1,28,7,35
1,40.65129,-73.92696,1,1,10,35
1,40.65343,-73.94914,1,3,39,35
1,40.65051,-73.94969,1,1,3,35
1,40.6472,-73.94348,1,4,5,35
1,40.64929,-73.92685,1,1,7,35
1,40.65015,-73.92803,1,1,7,35
1,40.63707,-73.93148,1,4,10,35
1,40.64922,-73.93301,1,1,31,35
1,40.65226,-73.94521,1,7,2,35
1,40.65279,-73.946,1,7,4,35
1,40.64457,-73.94915,1,1,3,35
1,40.64538,-73.94863,2,30,2,36
1,40.63532,-73.94924,1,2,1,36
1,40.64575,-73.94654,1,15,1,36
1,40.64528,-73.93457,1,1,16,37
1,40.64156,-73.93177,1,7,62,37
1,40.65057,-73.92383,1,1,51,37
1,40.66087,-73.93516,1,30,1,38
1,40.64233,-73.94773,2,30,0,38
1,40.64051,-73.93224,1,7,37,38
1,40.65261,-73.94486,1,60,9,38
1,40.65046,-73.95067,1,2,11,38
1,40.65236,-73.94965,1,2,9,38
1,40.63338,-73.94753,1,2,7,39
1,40.6504,-73.95011,1,3,2,39
1,40.65808,-73.93903,1,2,3,39
1,40.64487,-73.94919,2,30,3,40
1,40.64517,-73.94843,2,30,5,40
1,40.65695,-73.92558,1,30,0,40
1,40.6485,-73.93855,1,3,58,40
1,40.64991,-73.93716,1,3,52,40
1,40.65547,-73.92567,1,30,7,40
1,40.63297,-73.93781,1,2,1,40
1,40.64929,-73.92647,1,3,39,40
1,40.655,-73.92764,1,30,3,40
1,40.64915,-73.95147,1,25,0,40
1,40.63659,-73.94734,1,1,15,40
1,40.65351,-73.94999,1,30,0,40
1,40.65565,-73.92705,1,30,1,40
1,40.65239,-73.94454,1,7,1,40
1,40.65116,-73.94525,1,7,1,40
1,40.65286,-73.94532,1,7,2,40
1,40.6529,-73.94493,1,7,2,40
1,40.65132,-73.9452,1,7,1,40
1,40.64298,-73.93945,1,2,7,40
1,40.6456,-73.95065,1,1,1,40
1,40.6531,-73.94965,1,3,6,42
1,40.64836,-73.94547,1,13,22,42
1,40.65295,-73.9463,1,7,4,42
1,40.66058,-73.93383,1,30,1,43
1,40.66271,-73.93498,1,32,32,43
1,40.653,-73.95079,1,4,1,43
1,40.65345,-73.94881,1,6,2,43
1,40.64743,-73.94356,1,3,3,43
1,40.6593,-73.93512,1,30,1,44
1,40.63683,-73.93123,1,4,24,44
1,40.64768,-73.95138,1,1,5,45
1,40.65546,-73.94619,1,30,0,45
1,40.64595,-73.9504,1,30,7,45
1,40.66167,-73.92854,3,1,112,45
1,40.66248,-73.92855,1,1,39,45
1,40.65367,-73.94872,1,27,6,45
1,40.63425,-73.94862,2,2,0,45
1,40.64902,-73.9286,1,1,15,45
1,40.65185,-73.94555,1,45,5,45
1,40.64987,-73.93855,1,3,33,45
1,40.6442,-73.93266,1,3,35,45
1,40.64843,-73.93549,1,1,8,45
1,40.65323,-73.95256,1,5,5,45
1,40.65267,-73.94257,1,2,1,45
1,40.64842,-73.92753,3,2,17,45
1,40.65587,-73.94187,1,3,0,45
1,40.65292,-73.95229,1,5,2,45
1,40.65409,-73.94214,1,3,13,46
1,40.65267,-73.94293,1,3,10,46
1,40.6536,-73.94883,1,2,248,47
1,40.66037,-73.93316,1,30,0,47
1,40.63826,-73.93186,1,4,21,47
1,40.63972,-73.93234,1,4,27,47
1,40.6435,-73.94011,1,1,4,47
1,40.65381,-73.94893,1,3,19,47
1,40.65105,-73.93034,1,1,9,47
1,40.65881,-73.93376,1,30,2,48
1,40.66079,-73.9342,1,30,2,48
1,40.65226,-73.95166,1,2,60,48
1,40.64861,-73.94983,1,2,9,48
1,40.64245,-73.94603,1,1,1,48
1,40.64227,-73.94702,1,1,2,48
1,40.64311,-73.9472,1,1,3,48
1,40.64376,-73.94616,1,1,5,48
1,40.64474,-73.92297,3,2,77,49
1,40.64277,-73.94715,1,2,18,49
1,40.64171,-73.94721,1,1,1,49
1,40.651,-73.94886,1,2,263,50
1,40.64939,-73.94791,1,1,0,50
1,40.65343,-73.95175,1,3,0,50
1,40.64165,-73.94062,1,2,32,50
1,40.65886,-73.91919,1,2,149,50
1,40.65825,-73.92191,1,2,41,50
